City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luderitz,-26.6481,15.1594,73.98,46,0,10.2,NA,1613988724
1,liku,-0.7275,119.8922,78.22,80,82,4.43,ID,1613988724
2,hermanus,-34.4187,19.2345,78.01,43,0,10.45,ZA,1613988724
3,vaini,-21.2,-175.2,77.0,78,20,10.36,TO,1613988724
4,provideniya,64.3833,-173.3,-10.68,85,47,2.68,RU,1613988724
5,kaitangata,-46.2817,169.8464,62.01,92,100,0.72,NZ,1613988724
6,chuy,-33.6971,-53.4616,68.77,95,32,8.66,UY,1613988724
7,butaritari,3.0707,172.7902,81.19,79,92,17.0,KI,1613988725
8,netivot,31.4222,34.5886,66.99,52,30,4.34,IL,1613988726
9,nome,64.5011,-165.4064,-14.01,76,1,5.75,US,1613988726
10,faanui,-16.4833,-151.75,82.15,71,96,7.31,PF,1613988726
11,itoman,26.1247,127.6694,71.01,64,40,3.44,JP,1613988726
12,thompson,55.7435,-97.8558,24.8,93,90,2.3,CA,1613988579
13,murdochville,48.9583,-65.5006,23.0,63,0,17.27,CA,1613988727
14,padang,-0.9492,100.3543,89.6,62,20,6.91,ID,1613988581
15,kirgiz-miyaki,53.6324,54.7979,-3.75,89,100,1.7,RU,1613988727
16,koungou,-12.7336,45.2042,84.2,79,75,12.66,YT,1613988727
17,pacific grove,36.6177,-121.9166,50.0,61,1,6.91,US,1613988727
18,taltal,-25.4,-70.4833,62.17,77,61,3.29,CL,1613988727
19,yulara,-25.2406,130.9889,95.0,23,0,19.57,AU,1613988728
20,viedma,-40.8135,-62.9967,60.03,46,43,9.91,AR,1613988728
21,lima,-12.0432,-77.0282,72.0,83,0,3.44,PE,1613988728
22,georgetown,5.4112,100.3354,89.6,55,20,11.5,MY,1613988495
23,jamestown,42.097,-79.2353,28.99,80,90,16.96,US,1613988430
24,barrow,71.2906,-156.7887,-9.4,70,90,11.5,US,1613988602
25,hithadhoo,-0.6,73.0833,82.69,73,97,12.97,MV,1613988728
26,garissa,-0.4536,39.6401,91.51,40,100,6.04,KE,1613988728
27,port elizabeth,-33.918,25.5701,73.4,53,20,11.5,ZA,1613988729
28,ushuaia,-54.8,-68.3,42.8,87,75,23.02,AR,1613988716
29,kandalaksha,67.162,32.4123,-14.98,86,100,5.61,RU,1613988729
30,matara,5.9485,80.5353,84.43,66,92,4.23,LK,1613988670
31,mataura,-46.1927,168.8643,60.01,88,100,3.0,NZ,1613988729
32,souillac,-20.5167,57.5167,86.0,66,20,16.11,MU,1613988729
33,ponta do sol,32.6667,-17.1,66.2,59,20,8.05,PT,1613988729
34,hobart,-42.8794,147.3294,55.4,47,40,14.97,AU,1613988649
35,port alfred,-33.5906,26.891,73.0,75,9,7.0,ZA,1613988730
